label,target_saving,gamma,outage,nmse_db
PTQ,85.0,0.99,0.4839,-12.857917318756789
PTQ,85.0,0.95,0.0001,-12.857917318756789
PTQ,85.5,0.99,0.51845,-12.697410295020866
PTQ,85.5,0.95,0.0001,-12.697410295020866
PTQ,86.0,0.99,0.53415,-12.615120665676562
PTQ,86.0,0.95,0.0001,-12.615120665676562
PTQ,86.5,0.99,0.5526,-12.5335049164849
PTQ,86.5,0.95,0.0001,-12.5335049164849
PTQ,87.0,0.99,0.80915,-11.315009513259955
PTQ,87.0,0.95,0.0003,-11.315009513259955
PTQ,87.5,0.99,0.9933,-9.775413186002202
PTQ,87.5,0.95,0.0033,-9.775413186002202
PTQ,88.0,0.99,1.0,-8.08960379464935
PTQ,88.0,0.95,0.0556,-8.08960379464935
PTQ,88.5,0.99,1.0,-7.265633449251325
PTQ,88.5,0.95,0.1849,-7.265633449251325
PTQ,89.0,0.99,1.0,-6.199690996056361
PTQ,89.0,0.95,0.49315,-6.199690996056361
PTQ,89.5,0.99,1.0,-5.303545177786937
PTQ,89.5,0.95,0.78115,-5.303545177786937
PTQ,90.0,0.99,1.0,-4.811638628030187
PTQ,90.0,0.95,0.903,-4.811638628030187
PTQ,90.5,0.99,1.0,-4.188891661080387
PTQ,90.5,0.95,0.98355,-4.188891661080387
PTQ,91.0,0.99,1.0,-3.766583274229334
PTQ,91.0,0.95,0.99665,-3.766583274229334
PTQ,91.5,0.99,1.0,-3.245096857576677
PTQ,91.5,0.95,0.9999,-3.245096857576677
PTQ,92.0,0.99,1.0,-2.8137612009452955
PTQ,92.0,0.95,1.0,-2.8137612009452955
PTQ,92.5,0.99,1.0,-2.4413286635081146
PTQ,92.5,0.95,1.0,-2.4413286635081146
PTQ,93.0,0.99,1.0,-1.8399450858572342
PTQ,93.0,0.95,1.0,-1.8399450858572342
PTQ,93.5,0.99,0.14695,-15.370048720084482
PTQ,93.5,0.95,0.0001,-15.370048720084482
PTQ,94.0,0.99,0.14695,-15.370048720084482
PTQ,94.0,0.95,0.0001,-15.370048720084482
PTQ,94.5,0.99,0.14695,-15.370048720084482
PTQ,94.5,0.95,0.0001,-15.370048720084482
PTQ,95.0,0.99,0.14695,-15.370048720084482
PTQ,95.0,0.95,0.0001,-15.370048720084482
PTQ,95.5,0.99,0.14695,-15.370048720084482
PTQ,95.5,0.95,0.0001,-15.370048720084482
PTQ,96.0,0.99,0.14695,-15.370048720084482
PTQ,96.0,0.95,0.0001,-15.370048720084482
PTQ,96.5,0.99,0.14695,-15.370048720084482
PTQ,96.5,0.95,0.0001,-15.370048720084482
PTQ,97.0,0.99,0.14695,-15.370048720084482
PTQ,97.0,0.95,0.0001,-15.370048720084482
QAT,85.0,0.99,1.0,-4.6966432309671715
QAT,85.0,0.95,0.7327,-4.6966432309671715
QAT,85.5,0.99,1.0,-4.663128377171138
QAT,85.5,0.95,0.74125,-4.663128377171138
QAT,86.0,0.99,1.0,-4.665272236673004
QAT,86.0,0.95,0.74295,-4.665272236673004
QAT,86.5,0.99,1.0,-4.6522498687480915
QAT,86.5,0.95,0.7466,-4.6522498687480915
QAT,87.0,0.99,1.0,-4.472771460709613
QAT,87.0,0.95,0.79395,-4.472771460709613
QAT,87.5,0.99,1.0,-4.247061675154394
QAT,87.5,0.95,0.85735,-4.247061675154394
QAT,88.0,0.99,1.0,-3.9253549005466475
QAT,88.0,0.95,0.92825,-3.9253549005466475
QAT,88.5,0.99,1.0,-3.7209454483348563
QAT,88.5,0.95,0.9619,-3.7209454483348563
QAT,89.0,0.99,1.0,-3.3979580789528367
QAT,89.0,0.95,0.99045,-3.3979580789528367
QAT,89.5,0.99,1.0,-3.2153163399383384
QAT,89.5,0.95,0.9979,-3.2153163399383384
QAT,90.0,0.99,1.0,-3.068540231217598
QAT,90.0,0.95,0.99935,-3.068540231217598
QAT,90.5,0.99,1.0,-2.7546994646910212
QAT,90.5,0.95,1.0,-2.7546994646910212
QAT,91.0,0.99,1.0,-2.6542739385353213
QAT,91.0,0.95,1.0,-2.6542739385353213
QAT,91.5,0.99,1.0,-2.358033489021491
QAT,91.5,0.95,1.0,-2.358033489021491
QAT,92.0,0.99,1.0,-2.1127854182287966
QAT,92.0,0.95,1.0,-2.1127854182287966
QAT,92.5,0.99,1.0,-2.0702013602926894
QAT,92.5,0.95,1.0,-2.0702013602926894
QAT,93.0,0.99,1.0,-1.8600380975462039
QAT,93.0,0.95,1.0,-1.8600380975462039
QAT,93.5,0.99,0.9997,-4.97071355315189
QAT,93.5,0.95,0.643,-4.97071355315189
QAT,94.0,0.99,0.9997,-4.97071355315189
QAT,94.0,0.95,0.643,-4.97071355315189
QAT,94.5,0.99,0.9997,-4.97071355315189
QAT,94.5,0.95,0.643,-4.97071355315189
QAT,95.0,0.99,0.9997,-4.97071355315189
QAT,95.0,0.95,0.643,-4.97071355315189
QAT,95.5,0.99,0.9997,-4.97071355315189
QAT,95.5,0.95,0.643,-4.97071355315189
QAT,96.0,0.99,0.9997,-4.97071355315189
QAT,96.0,0.95,0.643,-4.97071355315189
QAT,96.5,0.99,0.9997,-4.97071355315189
QAT,96.5,0.95,0.643,-4.97071355315189
QAT,97.0,0.99,0.9997,-4.97071355315189
QAT,97.0,0.95,0.643,-4.97071355315189
